n	 tiempo
500	0
501	1e-06
502	0
503	1e-06
504	0
505	0
506	0
507	0
508	0
509	0
510	0
511	0
512	0
513	0
514	0
515	0
516	0
517	1e-06
518	0
519	0
520	0
521	1e-06
522	0
523	0
524	0
525	1e-06
526	0
527	0
528	1e-06
529	0
530	0
531	0
532	0
533	1e-06
534	0
535	0
536	0
537	1e-06
538	0
539	0
540	1e-06
541	0
542	0
543	0
544	1e-06
545	0
546	0
547	0
548	0
549	1e-06
550	0
551	0
552	1e-06
553	0
554	0
555	1e-06
556	0
557	0
558	1e-06
559	0
560	0
561	0
562	1e-06
563	0
564	0
565	0
566	0
567	1e-06
568	0
569	0
570	0
571	1e-06
572	0
573	0
574	0
575	0
576	1e-06
577	0
578	0
579	0
580	1e-06
581	0
582	0
583	0
584	0
585	0
586	0
587	0
588	0
589	0
590	0
591	1e-06
592	0
593	0
594	0
595	1e-06
596	0
597	0
598	1e-06
599	0
600	0
601	1e-06
602	0
603	1e-06
604	0
605	0
606	0
607	0
608	0
609	0
610	0
611	0
612	0
613	0
614	1e-06
615	0
616	0
617	0
618	0
619	0
620	1e-06
621	0
622	0
623	1e-06
624	0
625	1e-06
626	0
627	1e-06
628	0
629	1e-06
630	0
631	0
632	0
633	0
634	0
635	1e-06
636	0
637	0
638	0
639	0
640	1e-06
641	0
642	0
643	1e-06
644	0
645	0
646	0
647	0
648	0
649	1e-06
650	0
651	0
652	0
653	0
654	0
655	1e-06
656	0
657	0
658	1e-06
659	0
660	0
661	1e-06
662	0
663	0
664	1e-06
665	0
666	1e-06
667	0
668	0
669	1e-06
670	0
671	0
672	0
673	0
674	0
675	0
676	0
677	0
678	0
679	0
680	0
681	0
682	0
683	0
684	0
685	0
686	0
687	0
688	0
689	0
690	0
691	0
692	0
693	0
694	0
695	0
696	0
697	0
698	1e-06
699	0
700	0
701	0
702	0
703	1e-06
704	0
705	0
706	0
707	0
708	0
709	0
710	0
711	1e-06
712	0
713	0
714	0
715	0
716	1e-06
717	1e-06
718	0
719	0
720	0
721	0
722	0
723	1e-06
724	0
725	0
726	0
727	1e-06
728	0
729	0
730	1e-06
731	0
732	0
733	0
734	0
735	0
736	0
737	0
738	0
739	1e-06
740	0
741	0
742	0
743	0
744	0
745	1e-06
746	0
747	0
748	0
749	1e-06
750	0
751	1e-06
752	0
753	1e-06
754	0
755	1e-06
756	0
757	6e-06
758	1e-06
759	0
760	0
761	0
762	0
763	0
764	0
765	1e-06
766	0
767	0
768	0
769	1e-06
770	0
771	1e-06
772	0
773	0
774	0
775	0
776	0
777	1e-06
778	0
779	0
780	0
781	0
782	1e-06
783	0
784	0
785	0
786	0
787	0
788	0
789	0
790	1e-06
791	0
792	0
793	0
794	1e-06
795	0
796	0
797	0
798	0
799	0
800	1e-06
801	0
802	0
803	0
804	0
805	1e-06
806	0
807	0
808	1e-06
809	0
810	0
811	1e-06
812	0
813	0
814	1e-06
815	0
816	0
817	0
818	0
819	0
820	0
821	0
822	0
823	0
824	1e-06
825	1e-06
826	0
827	0
828	1e-06
829	1e-06
830	1e-06
831	0
832	0
833	0
834	0
835	0
836	0
837	0
838	0
839	1e-06
840	0
841	1e-06
842	0
843	0
844	1e-06
845	0
846	0
847	1e-06
848	0
849	1e-06
850	0
851	1e-06
852	0
853	1e-06
854	0
855	0
856	1e-06
857	0
858	0
859	1e-06
860	1e-06
861	0
862	1e-06
863	0
864	1e-06
865	0
866	0
867	1e-06
868	0
869	0
870	1e-06
871	0
872	1e-06
873	0
874	0
875	1e-06
876	1e-06
877	0
878	0
879	1e-06
880	0
881	1e-06
882	0
883	0
884	1e-06
885	0
886	0
887	1e-06
888	0
889	1e-06
890	0
891	0
892	0
893	1e-06
894	0
895	1e-06
896	1e-06
897	0
898	0
899	1e-06
900	0
901	1e-06
902	0
903	1e-06
904	0
905	1e-06
906	0
907	0
908	1e-06
909	0
910	0
911	1e-06
912	0
913	1e-06
914	0
915	0
916	0
917	1e-06
918	0
919	1e-06
920	0
921	1e-06
922	0
923	1e-06
924	1e-06
925	0
926	1e-06
927	0
928	0
929	0
930	0
931	0
932	1e-06
933	0
934	0
935	1e-06
936	0
937	0
938	0
939	0
940	1e-06
941	0
942	1e-06
943	1e-06
944	0
945	0
946	0
947	0
948	1e-06
949	0
950	0
951	0
952	0
953	0
954	0
955	0
956	0
957	0
958	0
959	0
960	0
961	1e-06
962	0
963	1e-06
964	0
965	1e-06
966	0
967	0
968	1e-06
969	0
970	1e-06
971	0
972	0
973	1e-06
974	0
975	0
976	1e-06
977	0
978	1e-06
979	0
980	0
981	1e-06
982	0
983	0
984	0
985	1e-06
986	0
987	1e-06
988	1e-06
989	0
990	0
991	1e-06
992	0
993	1e-06
994	0
995	1e-06
996	0
997	0
998	1e-06
999	0
